,time_of_day,dob,student_status,RC_1,RC_2,RC_3,RC_4,RC_5,Diff_timing,Diff_found,Diff_found_list,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,Pattern_1,Liar_check,group,RC_score,Diff_score,M_score,Pattern_score,Liar_score,Big_liar_score,nighttime,total_score,score,Score
114,20,2002,Undergraduate Student,1,1,1,1,0,101.975,3,"rocket, bubbles, sparkle",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dark_mode,0.75,0.2,0.1875,0,1.0,1,True,1.1875,0.296875,0.284375
118,22,1996,Graduate Student,0,0,1,1,0,65.011,5,book,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,low_contrast,0.25,0.3333333333333333,1.0,1,1.0,1,True,2.7333333333333334,0.6833333333333333,0.6458333333333333
121,6,1998,Graduate Student,1,0,0,1,0,65.008,1,Scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,low_contrast,0.25,0.06666666666666667,0.0,0,1.0,1,False,0.4666666666666667,0.11666666666666667,0.07916666666666666
122,6,1994,Graduate Student,1,0,0,0,0,65.142,2,Rocke,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,low_contrast,0.25,0.13333333333333333,0.75,0,0.5,1,False,1.0833333333333335,0.27083333333333337,0.2833333333333333
123,8,1991,Graduate Student,0,0,1,0,1,130.175,5,book staff face dress things,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,low_contrast,0.5,0.3333333333333333,0.875,0,0.0,0,False,1.6083333333333334,0.40208333333333335,0.4270833333333333
124,18,2000,Undergraduate Student,1,0,1,1,0,130.075,1,lever,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,low_contrast,0.5,0.06666666666666667,0.5,1,1.0,1,False,2.1666666666666665,0.5416666666666666,0.5166666666666666
125,22,1998,Undergraduate Student,1,0,1,0,0,130.022,3,"Lizard, crumbs, rocket",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,low_contrast,0.5,0.2,1.0,0,0.5,1,True,1.6,0.4,0.425
126,1,2000,Undergraduate Student,0,0,0,0,0,65.014,2,"robot, valve",0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,low_contrast,0.0,0.13333333333333333,0.375,0,0.5,1,True,0.5083333333333333,0.12708333333333333,0.12708333333333333
127,15,2001,Undergraduate Student,0,0,1,1,1,130.017,3,"rocket, stick",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,low_contrast,0.5,0.2,0.0625,0,1.0,1,False,0.8625,0.215625,0.190625
128,18,2000,Undergraduate Student,1,0,0,0,1,65.009,2,"rocket, stick, ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,low_contrast,0.5,0.13333333333333333,1.0,0,0.5,1,False,1.5333333333333332,0.3833333333333333,0.4083333333333333
129,18,1999,Undergraduate Student,1,0,1,1,1,135.394,7,"rocket, claw, tongue, specks, control, heart, star",1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,low_contrast,0.75,0.4666666666666667,0.75,0,1.0,1,False,2.0166666666666666,0.5041666666666667,0.4916666666666667
130,18,1990,Graduate Student,1,0,0,1,1,130.034,1,Stick on monkey,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,low_contrast,0.5,0.06666666666666667,0.375,1,1.0,1,False,2.0416666666666665,0.5104166666666666,0.48541666666666666
131,18,2001,Undergraduate Student,1,0,0,0,0,65.009,3,heart has vein,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,low_contrast,0.25,0.2,0.25,1,0.5,1,False,1.65,0.4125,0.425
132,18,2000,Undergraduate Student,0,0,0,0,0,130.125,3,"line, book, circle",0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,low_contrast,0.0,0.2,0.75,0,0.5,1,False,0.95,0.2375,0.2375
133,18,1999,Undergraduate Student,0,0,0,1,1,130.167,2,on top of the bulb there and on the bottom left bulb there is one item missing in the circle is one item missing,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,low_contrast,0.25,0.13333333333333333,0.8125,0,1.0,1,False,1.3458333333333332,0.3364583333333333,0.2989583333333333
134,18,1999,Undergraduate Student,1,0,1,0,1,65.109,3,"top-right, top, desk",1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,low_contrast,0.75,0.2,0.8125,0,0.5,1,False,1.6125,0.403125,0.440625
135,18,1999,Undergraduate Student,1,0,1,1,0,65.119,6,"bubble, heart, dots, ",1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,low_contrast,0.5,0.4,0.5625,0,1.0,1,False,1.5625,0.390625,0.365625
136,18,2002,Undergraduate Student,1,0,1,1,1,130.024,3,"antenna, circle, rocket",1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,low_contrast,0.75,0.2,0.75,0,1.0,1,False,1.75,0.4375,0.425
137,19,2000,Undergraduate Student,0,0,0,0,0,130.198,0,the screen is dark and its really hard to see i think theres a glitch with the survey,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,low_contrast,0.0,0.0,0.0625,0,0.5,1,False,0.0625,0.015625,0.015625
138,19,1999,Undergraduate Student,0,0,0,1,0,65.009,5,"fan, g",1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,low_contrast,0.0,0.3333333333333333,0.5625,1,1.0,1,False,2.095833333333333,0.5239583333333333,0.4739583333333333
139,18,1999,Undergraduate Student,1,0,1,1,1,65.017,6,missi,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,low_contrast,0.75,0.4,0.4375,0,1.0,1,False,1.6375000000000002,0.40937500000000004,0.396875
140,19,1999,Undergraduate Student,1,0,1,1,1,130.119,4,"tongue, rocket, starfish, line",1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,low_contrast,0.75,0.26666666666666666,0.3125,1,1.0,1,False,2.3791666666666664,0.5947916666666666,0.5822916666666667
142,18,2000,Undergraduate Student,1,0,0,1,1,130.114,4,"smile, scale, scale, scale",0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,low_contrast,0.5,0.26666666666666666,0.5,1,1.0,1,False,2.3666666666666667,0.5916666666666667,0.5666666666666667
143,19,1998,Graduate Student,1,0,1,1,1,130.126,4,"lamp, eyes, spots, lettuce",1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,low_contrast,0.75,0.26666666666666666,0.6875,1,1.0,1,False,2.7541666666666664,0.6885416666666666,0.6760416666666667
144,20,1999,Undergraduate Student,1,0,1,1,1,65.11,2,"Chameleon tongue, rocket",1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,low_contrast,0.75,0.13333333333333333,0.8125,1,1.0,1,True,2.7458333333333336,0.6864583333333334,0.6739583333333333
145,18,1999,Undergraduate Student,1,0,1,0,0,65.115,3,"lizard, hole, ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,low_contrast,0.5,0.2,1.0,1,0.5,1,False,2.6,0.65,0.675
146,18,1999,Undergraduate Student,1,0,1,1,0,130.125,6,"star, rock on the left, blobs on the bulb at the bottom, line on the left, pencil tip, little sprinkles on the left",1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,low_contrast,0.5,0.4,0.8125,0,1.0,1,False,1.8125,0.453125,0.428125
147,19,1999,Undergraduate Student,1,0,0,0,1,130.018,5,"lizard, dots on claw, dots on joystick, firework, ",0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,low_contrast,0.5,0.3333333333333333,0.5,0,0.5,1,False,1.2333333333333334,0.30833333333333335,0.3333333333333333
148,19,1999,Undergraduate Student,0,0,0,0,0,130.117,5,"moon, tongue, firework, design",0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,low_contrast,0.0,0.3333333333333333,0.25,0,0.5,1,False,0.5833333333333333,0.14583333333333331,0.14583333333333331
149,20,1998,Undergraduate Student,1,0,0,1,1,130.023,4,"globe, light, ",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,low_contrast,0.5,0.26666666666666666,0.125,1,1.0,1,True,1.9916666666666667,0.4979166666666667,0.47291666666666665
150,20,2000,Undergraduate Student,1,0,1,0,0,65.03,3,"spots,sparkles",1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,low_contrast,0.5,0.2,0.4375,1,0.5,1,True,2.0375,0.509375,0.534375
151,18,2001,Undergraduate Student,1,0,1,1,0,130.116,6,"rat, joystick, claw, ",1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,low_contrast,0.5,0.4,0.4375,1,1.0,1,False,2.4375,0.609375,0.584375
152,22,2000,Undergraduate Student,1,0,1,0,0,65.008,3,ca,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,low_contrast,0.5,0.2,0.25,0,0.5,1,True,0.8500000000000001,0.21250000000000002,0.2375
153,22,2000,Undergraduate Student,0,0,0,1,0,65.013,3,"line, dot, firecracker",0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,low_contrast,0.0,0.2,0.3125,0,1.0,1,True,0.7125,0.178125,0.128125
154,22,2000,Undergraduate Student,1,0,1,1,0,130.024,11,"claw,heart,tongue,star,globe,taco,",0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,low_contrast,0.5,0.7333333333333333,0.6875,0,1.0,1,True,2.020833333333333,0.5052083333333333,0.48020833333333335
155,18,2001,Undergraduate Student,1,0,1,1,1,130.02,1,rocket,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,low_contrast,0.75,0.06666666666666667,0.5,1,1.0,1,False,2.3666666666666667,0.5916666666666667,0.5791666666666666
156,23,2002,Undergraduate Student,1,0,1,0,0,130.115,3,"globe,line,star",0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,low_contrast,0.5,0.2,0.4375,1,0.5,1,True,2.0375,0.509375,0.534375
157,1,1998,Undergraduate Student,0,0,1,0,0,65.015,2,"ornament, globe",1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,low_contrast,0.25,0.13333333333333333,0.4375,0,0.5,1,True,0.7708333333333334,0.19270833333333334,0.20520833333333333
158,9,2000,Undergraduate Student,1,0,1,1,0,130.025,2,"tongue,rocket",0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,low_contrast,0.5,0.13333333333333333,0.25,1,1.0,1,False,1.9833333333333334,0.49583333333333335,0.4708333333333333
159,13,1999,Undergraduate Student,1,0,0,0,1,65.116,4,"rocket, tongue, bubble, crumbes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,low_contrast,0.5,0.26666666666666666,1.0,0,0.5,1,False,1.6666666666666667,0.4166666666666667,0.44166666666666665
160,17,1999,Undergraduate Student,0,0,1,1,1,130.12,5,"scales, stick, crumbs, rocket, window",1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,low_contrast,0.5,0.3333333333333333,0.5625,0,1.0,1,False,1.4958333333333333,0.37395833333333334,0.3489583333333333
161,2,1997,Undergraduate Student,0,0,0,0,0,130.21,2,"lightbulb, lizard",0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,low_contrast,0.0,0.13333333333333333,0.25,1,0.5,1,True,1.3833333333333333,0.3458333333333333,0.3458333333333333
162,15,2000,Undergraduate Student,1,0,0,1,1,65.016,2,"star, planet",1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,low_contrast,0.5,0.13333333333333333,0.5,0,1.0,1,False,1.2333333333333334,0.30833333333333335,0.2833333333333333
163,17,2000,Graduate Student,1,0,1,1,1,65.014,1,rocket,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,low_contrast,0.75,0.06666666666666667,0.3125,1,1.0,1,False,2.1791666666666667,0.5447916666666667,0.5322916666666666
164,18,1997,Graduate Student,1,0,1,1,1,65.012,1,lever,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,low_contrast,0.75,0.06666666666666667,0.6875,1,1.0,1,False,2.5541666666666667,0.6385416666666667,0.6260416666666666
168,21,1996,Staff,0,0,0,0,0,130.334,4,"marks, plus mark.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,neon,0.0,0.26666666666666666,0.0,0,0.5,1,True,0.26666666666666666,0.06666666666666667,0.06666666666666667
171,0,1995,Staff,0,0,0,0,0,65.083,2,"RACKET, STICK,",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,neon,0.0,0.13333333333333333,1.0,1,0.5,1,True,2.1333333333333333,0.5333333333333333,0.5333333333333333
174,15,,,1,0,0,0,1,65.127,10,test only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,neon,0.5,0.6666666666666666,0.0,1,0.0,0,False,2.0666666666666664,0.5166666666666666,0.5416666666666666
175,16,1999,Undergraduate Student,0,0,0,1,1,195.043,2,tongue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,neon,0.25,0.13333333333333333,0.0,0,1.0,1,False,0.5333333333333333,0.13333333333333333,0.09583333333333333
176,21,1999,Undergraduate Student,1,1,0,1,0,195.122,8,"head, bubble, tongue, dots, eye, pencil, rocket, belly ",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,neon,0.5,0.5333333333333333,0.9375,1,1.0,1,True,3.0708333333333333,0.7677083333333333,0.7427083333333333
177,19,2002,Undergraduate Student,1,1,0,1,1,65.059,3,"heart,iguana,dots,",1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,neon,0.75,0.2,0.5625,0,1.0,1,False,1.5625,0.390625,0.378125
178,14,2001,Undergraduate Student,0,1,0,0,0,44.248,1,book,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,neon,0.25,0.06666666666666667,0.0625,0,0.5,1,False,0.32916666666666666,0.08229166666666667,0.09479166666666666
179,18,1998,Undergraduate Student,1,1,0,0,0,87.494,4,"lizzard, rocket, star, ball, ",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,neon,0.5,0.26666666666666666,0.1875,1,0.5,1,False,1.8541666666666667,0.4635416666666667,0.48854166666666665
180,18,1999,Undergraduate Student,0,0,0,1,0,65.011,3,"eye, crumbs, tongue",1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,neon,0.0,0.2,0.5625,0,1.0,1,False,0.9625,0.240625,0.190625
182,18,2000,Undergraduate Student,1,1,0,1,1,101.147,5,"bubble, marks, stick, firework, bubble",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,neon,0.75,0.3333333333333333,0.875,0,1.0,1,False,2.0083333333333333,0.5020833333333333,0.4895833333333333
183,17,1997,Undergraduate Student,1,1,0,1,1,65.01,2,"hook,eyes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,neon,0.75,0.13333333333333333,1.0,1,1.0,1,False,2.9333333333333336,0.7333333333333334,0.7208333333333333
184,19,2002,Undergraduate Student,0,0,0,0,1,90.074,5,"string,firework,eye,circle,eye",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,neon,0.25,0.3333333333333333,1.0,0,0.5,1,False,1.5333333333333332,0.3833333333333333,0.3958333333333333
185,18,2000,Undergraduate Student,1,1,0,0,0,109.135,6,"spot, sweat, dark, line, crumbs, rocket ",1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,neon,0.5,0.4,0.5625,1,0.5,1,False,2.3625,0.590625,0.615625
186,18,2002,Undergraduate Student,1,1,0,1,0,116.922,8,"belly button, tough, heart, eye, rocket, lightbulb, taco, star",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,neon,0.5,0.5333333333333333,0.5,0,1.0,1,False,1.6333333333333333,0.4083333333333333,0.3833333333333333
187,18,2000,Undergraduate Student,1,1,0,0,0,60.104,2,"heart, light bulb",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,neon,0.5,0.13333333333333333,0.9375,0,0.5,1,False,1.4708333333333332,0.3677083333333333,0.3927083333333333
188,19,2000,Undergraduate Student,1,0,0,1,0,47.421,2,"firework, light bulb",1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,neon,0.25,0.13333333333333333,0.375,0,1.0,1,False,0.9083333333333333,0.22708333333333333,0.18958333333333333
189,19,2002,Undergraduate Student,1,0,0,1,0,65.01,3,"reflection, stick, rocket",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,neon,0.25,0.2,1.0,0,1.0,1,False,1.6,0.4,0.3625
190,18,1995,Graduate Student,1,1,0,1,0,65.02,5,"star,lightbulb,eye,firework,lizard",1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,neon,0.5,0.3333333333333333,0.75,0,1.0,1,False,1.6833333333333333,0.42083333333333334,0.3958333333333333
191,18,1998,Undergraduate Student,0,0,0,0,1,130.021,6,"eye , tongue, ",0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,neon,0.25,0.4,0.3125,0,0.5,1,False,0.9125000000000001,0.22812500000000002,0.240625
192,19,2000,Undergraduate Student,0,1,0,0,0,57.292,2,"tongue, bubbles",1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,neon,0.25,0.13333333333333333,0.5,1,0.5,1,False,1.8333333333333335,0.45833333333333337,0.4708333333333333
193,18,1996,Graduate Student,0,0,0,0,0,26.472,1,bulb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,neon,0.0,0.06666666666666667,0.0,0,0.5,1,False,0.06666666666666667,0.016666666666666666,0.016666666666666666
194,19,1999,Undergraduate Student,0,1,0,0,1,65.011,5,"heart pattern, eye ball bubble, left bottom three wings vs two wings, r",1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,neon,0.5,0.3333333333333333,0.6875,1,0.5,1,False,2.4208333333333334,0.6052083333333333,0.6302083333333333
195,19,1994,Undergraduate Student,1,1,0,1,1,130.024,7,lines,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,neon,0.75,0.4666666666666667,0.4375,1,1.0,1,False,2.7041666666666666,0.6760416666666667,0.6635416666666667
196,19,1997,Graduate Student,0,1,0,0,0,122.429,9,"eyeball, light on eyeball,, tongue, navel, mouth, rocket, animal, nose, pencil lead",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,neon,0.25,0.6,0.875,1,0.5,1,False,2.675,0.66875,0.68125
197,19,2001,Undergraduate Student,1,1,0,1,1,130.118,6,"chameleon, taco, firework, lightbulb, joystick, star, claw, tooth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,neon,0.75,0.4,0.0,0,1.0,1,False,1.2000000000000002,0.30000000000000004,0.2875
198,18,2000,Undergraduate Student,0,0,0,0,0,21.774,1,angles,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,neon,0.0,0.06666666666666667,1.0,1,0.5,1,False,2.0666666666666664,0.5166666666666666,0.5166666666666666
199,20,1999,Undergraduate Student,1,1,0,0,1,110.378,9,"circle, tongue, filling, star, eyeball, pencil, feather, blob, whisker",1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,neon,0.75,0.6,0.375,0,0.5,1,True,1.575,0.39375,0.43125
200,19,2002,Undergraduate Student,1,1,0,0,1,120.833,10,"spots, dirt, bandage, shine, rocket, stick, dirt, reflections",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,neon,0.75,0.6666666666666666,0.0625,1,0.5,1,False,2.3291666666666666,0.5822916666666667,0.6197916666666666
201,19,2001,Undergraduate Student,0,1,0,0,1,97.253,6,"circle, circle, firework, bellybutton, indent, tongue",1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,neon,0.5,0.4,0.4375,1,0.5,1,False,2.2375,0.559375,0.584375
202,20,2000,Undergraduate Student,1,0,0,0,1,59.295,5,"eye, star, robot, runner, rocket",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,neon,0.5,0.3333333333333333,1.0,0,0.5,1,True,1.7333333333333334,0.43333333333333335,0.4583333333333333
203,20,2001,Undergraduate Student,1,1,0,1,1,104.011,6,"glimmer, marks, marks, tongue, glimmer, rocket",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,neon,0.75,0.4,0.1875,1,1.0,1,True,2.3875,0.596875,0.584375
204,20,1999,Undergraduate Student,1,1,0,1,1,117.218,6,"tongue,whisker,navel,rocket,circle,circle",1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,neon,0.75,0.4,0.625,1,1.0,1,True,2.825,0.70625,0.69375
205,21,1998,Undergraduate Student,1,0,0,1,1,90.461,6,Body,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,neon,0.5,0.4,0.4375,0,1.0,1,True,1.4375,0.359375,0.334375
206,21,1999,Undergraduate Student,1,1,0,0,0,77.283,1,Glass ball bottom left,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,neon,0.5,0.06666666666666667,0.5,0,0.5,1,True,0.9666666666666667,0.24166666666666667,0.26666666666666666
207,19,2001,Undergraduate Student,1,1,0,1,1,65.009,5,"stick, mouth, crumbs, belly button,  ",1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,neon,0.75,0.3333333333333333,0.4375,0,1.0,1,False,1.5708333333333333,0.3927083333333333,0.3802083333333333
209,23,2000,Undergraduate Student,1,1,0,1,1,130.021,6,"highlight, tongue, eye, pencil tip, roc",1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,neon,0.75,0.4,0.3125,0,1.0,1,True,1.5125000000000002,0.37812500000000004,0.365625
210,23,2001,Undergraduate Student,1,0,0,0,0,111.163,0,count find any lol,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,neon,0.25,0.0,0.5625,0,0.0,0,True,0.7625,0.190625,0.203125
211,18,1999,Undergraduate Student,1,1,0,0,1,130.365,8,"circle, rocket, star, belly button, eyeball, ears, tongue",1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,neon,0.75,0.5333333333333333,0.5,1,0.5,1,False,2.6333333333333333,0.6583333333333333,0.6958333333333333
212,20,1999,Undergraduate Student,1,0,0,1,1,65.007,4,do,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,neon,0.5,0.26666666666666666,0.8125,1,1.0,1,True,2.6791666666666667,0.6697916666666667,0.6447916666666667
215,19,2001,Undergraduate Student,1,1,0,0,1,130.017,6,"heart, crumbs, dinosaur, dynamite, ",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,neon,0.75,0.4,0.125,1,0.5,1,False,2.125,0.53125,0.56875
216,19,2000,Undergraduate Student,1,1,0,1,0,88.288,4,"stick, bubble, rocket, tacos",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,neon,0.5,0.26666666666666666,0.875,1,1.0,1,False,2.7416666666666667,0.6854166666666667,0.6604166666666667
217,19,2001,Undergraduate Student,0,1,0,1,1,87.546,4,"star, eyes, holes, pencil",1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,neon,0.5,0.26666666666666666,0.4375,0,1.0,1,False,1.3041666666666667,0.3260416666666667,0.30104166666666665
218,21,2001,Undergraduate Student,0,0,0,0,0,107.229,5,"firework, pencil, circles",1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,neon,0.0,0.3333333333333333,0.3125,1,0.5,1,True,1.6458333333333333,0.4114583333333333,0.4114583333333333
219,0,1996,Undergraduate Student,1,1,0,0,1,187.116,7,"tongue,mouth,rocket,coin,surface,eye,mouth",1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,neon,0.75,0.4666666666666667,0.5625,0,0.5,1,True,1.6291666666666667,0.40729166666666666,0.4447916666666667
220,18,2000,Undergraduate Student,1,1,0,0,1,128.364,7,"nose, bellybutton,mouth,dust,tongue,freckles",1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,neon,0.75,0.4666666666666667,0.6875,0,0.5,1,False,1.7541666666666667,0.43854166666666666,0.4760416666666667
221,19,2002,Undergraduate Student,1,1,0,0,0,116.731,4,stick,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,neon,0.5,0.26666666666666666,0.5625,0,0.5,1,False,1.2291666666666667,0.3072916666666667,0.33229166666666665
